Date,Open,High,Low,Close,Adj Close,Volume
2022-02-24,108.239998,110.980003,105.720001,108.919998,105.226059,3814789
2022-02-25,110.000000,115.919998,108.500000,115.919998,111.988670,3050795
2022-02-28,115.459999,116.120003,110.900002,114.900002,111.003258,3777634
2022-03-01,114.480003,115.239998,104.180000,104.180000,100.646820,3583957
2022-03-02,104.000000,111.120003,102.180000,109.680000,105.960289,3419858
2022-03-03,109.059998,109.980003,104.260002,105.019997,101.458328,2420701
2022-03-04,103.000000,103.540001,96.830002,97.099998,93.806923,3941176
2022-03-07,91.500000,98.419998,90.239998,93.989998,90.802399,4384096
2022-03-08,91.320000,97.830002,90.480003,94.129997,90.937653,3235886
2022-03-09,97.620003,103.459999,96.269997,103.139999,99.642090,3709463
2022-03-10,103.199997,103.540001,97.500000,99.790001,96.405701,2779312
2022-03-11,99.889999,106.360001,99.709999,103.559998,100.047852,2624329
2022-03-14,105.000000,107.580002,104.339996,104.559998,101.013931,2020164
2022-03-15,102.620003,103.940002,101.199997,103.120003,99.622772,2299853
2022-03-16,105.900002,109.519997,104.699997,106.820000,103.197289,2548452
2022-03-17,106.660004,107.559998,104.959999,107.239998,103.603043,1456505
2022-03-18,106.800003,107.519997,103.900002,106.139999,102.540344,2900224
2022-03-21,105.620003,106.820000,104.800003,105.320000,101.748154,1480861
2022-03-22,105.379997,108.480003,105.220001,108.260002,104.588448,1552901
2022-03-23,108.379997,108.940002,106.540001,107.239998,103.603043,1286213
2022-03-24,107.239998,108.199997,106.180000,107.400002,103.757622,1058102
2022-03-25,107.779999,109.279999,106.660004,107.540001,103.892868,1226858
2022-03-28,107.120003,109.339996,107.120003,107.699997,104.047440,1155300
2022-03-29,109.599998,113.779999,109.000000,113.559998,109.708702,1811661
2022-03-30,112.500000,112.919998,110.320000,111.360001,107.583313,1706221
2022-03-31,111.660004,112.339996,110.160004,110.360001,106.617233,1603935
2022-04-01,110.080002,111.739998,109.739998,111.019997,107.254845,1099406
2022-04-04,111.760002,111.919998,108.000000,110.099998,106.366043,1150678
2022-04-05,109.580002,110.080002,103.500000,105.239998,101.670860,2140458
2022-04-06,104.959999,106.519997,103.080002,103.800003,100.279709,1781786
2022-04-07,104.139999,105.320000,101.720001,101.980003,98.521431,1505381
2022-04-08,103.699997,105.180000,102.540001,103.400002,99.893272,964702
2022-04-11,102.580002,105.360001,101.559998,104.440002,100.897995,1223534
2022-04-12,102.480003,105.360001,101.739998,104.660004,101.110542,1638653
2022-04-13,103.820000,105.139999,103.540001,104.360001,100.820724,979693
2022-04-14,104.440002,106.820000,104.260002,106.120003,102.521027,1240440
2022-04-19,104.180000,105.019997,102.300003,104.220001,102.129051,1231107
2022-04-20,104.879997,106.680000,104.339996,105.820000,103.696953,1114419
2022-04-21,105.800003,109.720001,105.580002,108.519997,106.342773,1614181
2022-04-22,106.040001,107.739998,104.620003,104.660004,102.560226,1516294
2022-04-25,102.500000,105.099998,102.199997,103.000000,100.933533,1384818
2022-04-26,104.660004,105.660004,101.900002,102.040001,99.992790,1313876
2022-04-27,102.099998,102.959999,100.559998,102.120003,100.071190,1369774
2022-04-28,103.120003,105.199997,101.779999,103.339996,101.266701,1203679
2022-04-29,104.099998,106.699997,103.699997,105.540001,103.422569,1917299
2022-05-02,104.980003,105.400002,103.139999,103.980003,101.893867,1380079
2022-05-03,104.800003,106.540001,104.239998,106.540001,104.402504,1486415
2022-05-04,106.699997,107.540001,102.580002,102.580002,100.521950,1827042
2022-05-05,109.000000,111.260002,108.199997,109.019997,106.832741,2870875
2022-05-06,108.480003,111.440002,106.760002,107.500000,105.343246,2715029
2022-05-09,105.519997,108.199997,103.720001,103.720001,101.639084,1720618
2022-05-10,107.000000,107.540001,104.599998,104.599998,102.501427,1717561
2022-05-11,106.379997,107.959999,105.080002,107.480003,105.323654,1807467
2022-05-12,104.419998,105.839996,102.639999,104.400002,102.305443,1945246
2022-05-13,105.459999,106.360001,103.879997,106.360001,104.226112,1192102
2022-05-16,105.699997,106.519997,104.000000,105.839996,103.716545,1154177
2022-05-17,107.139999,108.360001,106.760002,108.279999,106.107597,1093280
2022-05-18,108.239998,109.779999,107.739998,107.940002,105.774414,1172470
2022-05-19,106.459999,107.459999,105.339996,106.400002,104.265320,1368380
2022-05-20,107.680000,109.160004,106.739998,106.919998,104.774879,1418219
2022-05-23,108.379997,108.739998,105.059998,107.180000,105.029671,1387159
2022-05-24,105.199997,105.580002,102.739998,102.739998,100.678741,1366749
2022-05-25,104.099998,105.139999,102.839996,104.760002,102.658218,987607
2022-05-26,104.959999,109.059998,104.760002,109.059998,106.871948,1407493
2022-05-27,109.959999,112.279999,109.080002,111.860001,109.615776,1697506
2022-05-30,112.559998,113.160004,112.220001,112.540001,110.282135,844162
2022-05-31,110.959999,111.099998,108.779999,108.779999,106.597565,1823644
2022-06-01,109.599998,110.199997,108.040001,108.260002,106.088005,976484
2022-06-02,108.800003,109.459999,108.220001,108.959999,106.773956,1057606
2022-06-03,110.180000,110.180000,108.239998,108.680000,106.499573,821951
2022-06-06,109.500000,111.959999,109.379997,111.339996,109.106201,1105553
2022-06-07,110.519997,111.360001,109.940002,110.260002,108.047874,846279
2022-06-08,111.019997,111.519997,107.959999,108.320000,106.146790,1083842
2022-06-09,107.800003,108.099998,105.080002,105.400002,103.285378,1332156
2022-06-10,104.599998,105.059998,101.860001,102.000000,99.953590,1822090
2022-06-13,100.099998,101.839996,97.089996,97.519997,95.563469,1652277
2022-06-14,98.610001,99.209999,95.400002,96.360001,94.426750,1375979
2022-06-15,98.199997,98.669998,96.309998,96.449997,94.514938,1656474
2022-06-16,96.550003,96.680000,93.000000,93.000000,91.134155,1555136
2022-06-17,93.879997,96.989998,93.419998,94.120003,92.231689,3428873
2022-06-20,94.900002,97.430000,93.690002,96.980003,95.034309,1307746
2022-06-21,98.000000,99.000000,95.769997,96.080002,94.152367,1209724
2022-06-22,94.339996,94.440002,92.129997,92.959999,91.094955,1731169
2022-06-23,92.599998,92.809998,90.339996,90.919998,89.095886,1426504
2022-06-24,91.680000,93.220001,90.750000,92.500000,90.644188,1559937
2022-06-27,93.220001,94.709999,92.800003,93.209999,91.339943,1306107
2022-06-28,94.110001,96.559998,94.110001,94.940002,93.035233,1499340
2022-06-29,93.220001,94.080002,92.209999,92.209999,90.360008,1035853
2022-06-30,90.699997,92.599998,90.160004,92.449997,90.595184,1882753
2022-07-01,92.089996,96.930000,91.550003,95.239998,93.329208,1766197
2022-07-04,96.190002,96.620003,93.389999,93.400002,91.526131,1083441
2022-07-05,93.800003,94.220001,88.910004,89.419998,87.625984,1843101
2022-07-06,90.570000,93.230003,90.430000,92.660004,90.800980,1456486
2022-07-07,94.449997,95.089996,93.709999,94.680000,92.780449,1241485
2022-07-08,94.779999,96.349998,94.400002,96.040001,94.113159,1123979
2022-07-11,94.699997,97.620003,94.000000,96.709999,94.769722,1476126
2022-07-12,95.510002,101.000000,95.139999,100.459999,98.444489,1877061
2022-07-13,101.820000,101.900002,99.059998,101.279999,99.248032,1815221
2022-07-14,100.419998,101.919998,99.080002,99.620003,97.621346,1366669
2022-07-15,99.820000,104.239998,99.370003,103.720001,101.639084,1592970
2022-07-18,104.519997,105.800003,103.279999,104.339996,102.246635,1223847
2022-07-19,103.000000,106.980003,102.660004,105.839996,103.716545,1459081
2022-07-20,106.360001,106.820000,103.620003,104.660004,102.560226,1268358
